iter	Logloss
0	0.4443946067
1	0.237791665
2	0.1398426972
3	0.09119400526
4	0.05625748636
5	0.03220020758
6	0.02239712604
7	0.01322827196
8	0.007606380375
9	0.004694043017
10	0.003198734788
11	0.002132420426
12	0.00150278321
13	0.001105502262
14	0.0008858192337
15	0.0006981009028
16	0.0005834228417
17	0.0004558631538
18	0.0003716083965
19	0.0003047835071
20	0.0002661493022
21	0.0002255256968
22	0.0002026257126
23	0.0002026257126
24	0.0001826965574
25	0.0001669238341
26	0.0001516584579
27	0.0001516584579
28	0.0001419766733
29	0.0001393656099
30	0.0001369406203
31	0.0001369406203
32	0.0001277531349
33	0.0001277531349
34	0.0001277531349
35	0.0001277531349
36	0.0001277531349
37	0.0001166448544
38	0.0001147843969
39	0.0001147843969
40	0.0001147843969
41	0.0001147843969
42	0.0001147843969
43	0.0001147843969
44	0.0001128815296
45	0.0001128703337
46	0.0001128680663
47	0.0001128745246
48	0.000109164829
49	0.0001091403954
50	0.0001091608955
51	0.0001072894466
52	0.0001072457056
53	0.0001002540642
54	0.0001002540642
55	0.0001002540642
56	0.0001002332542
57	0.0001002316387
58	0.0001002316387
59	0.0001002316387
60	0.0001002316387
61	0.0001002316387
62	0.0001002316387
63	0.0001002316387
64	0.0001002316387
65	0.000100227536
66	0.000100227536
67	9.543100856e-05
68	9.543100856e-05
69	9.543100856e-05
70	9.543758144e-05
71	9.543758144e-05
72	9.543758144e-05
73	9.543758144e-05
74	9.543758144e-05
75	9.543758144e-05
76	9.543758144e-05
77	9.543758144e-05
78	9.543758144e-05
79	9.543758144e-05
80	9.543758144e-05
81	9.543758144e-05
82	9.543758144e-05
83	9.543758144e-05
84	9.543758144e-05
85	9.543758144e-05
86	9.543758144e-05
87	9.543758144e-05
88	9.542710127e-05
89	9.54290211e-05
90	9.54290211e-05
91	9.54290211e-05
92	9.54290211e-05
93	9.54290211e-05
94	9.370915632e-05
95	9.370915632e-05
96	9.374154358e-05
97	9.374154358e-05
98	9.372294077e-05
99	9.372063209e-05
